City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Codajas,BR,75.47,overcast clouds,-3.84,-62.06,Hotel Tamires
243,Haikou,CN,86.0,light intensity shower rain,20.05,110.34,Sun City Restaurant
244,Ugoofaaru,MV,83.03,overcast clouds,5.67,73.0,Ungoofaaru Inn
245,Hoa Binh,VN,86.0,broken clouds,20.81,105.34,Hoa Dao Hotel
246,Minab,IR,91.4,haze,27.15,57.08,فروشگاه موبایل ترکمانی
250,Pozo Colorado,PY,71.08,clear sky,-23.49,-58.8,Hospedaje la Amistad
252,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
257,Boueni,YT,77.0,broken clouds,-12.9,45.08,Auberge bouloulou( inter djasmire )
259,Kidal,ML,86.95,clear sky,18.44,1.41,
261,Onguday,RU,67.86,broken clouds,50.75,86.15,Gostevoy Dom
265,Loa Janan,ID,80.28,moderate rain,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
266,Winona,US,71.6,broken clouds,43.97,-91.77,
267,Karratha,AU,83.07,clear sky,-20.74,116.85,ibis Styles Karratha
268,Bundaberg,AU,71.6,overcast clouds,-24.85,152.35,Takalvan Motel
269,Okhotsk,RU,65.19,clear sky,59.38,143.3,
270,Chumphon,TH,75.2,light rain,10.33,98.83,บ้านอิงน้ำ โฮมสเตย์
272,Bubaque,GW,81.05,moderate rain,11.28,-15.83,Casa Dora
273,Ukiah,US,82.4,clear sky,39.15,-123.21,Hampton Inn Ukiah
274,Mackenzie,CA,75.2,clear sky,55.3,-123.17,Hilton Shop
275,Tezu,IN,91.31,few clouds,27.92,96.17,Circuit House
276,Kavali,IN,86.65,overcast clouds,14.92,79.98,Lic B.M Quearter's
277,Freeport,US,78.8,broken clouds,40.66,-73.58,The Freeport Inn and Marina
279,Koumac,NC,70.57,clear sky,-20.57,164.28,Le Monitel
281,Nikolayevskaya,RU,67.53,overcast clouds,47.61,41.5,
282,Outlook,CA,66.36,clear sky,51.5,-107.05,Red Wheel Motel
283,Alpena,US,68.0,clear sky,45.06,-83.43,Big Bear Lodge
284,Abu Samrah,SY,74.97,clear sky,35.3,37.18,
285,Hayden,US,80.6,clear sky,47.77,-116.79,Triple Play Resort Hotel & Suites
286,Brigantine,US,78.8,scattered clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
287,Mokrousovo,RU,77.45,scattered clouds,55.81,66.77,Tserkov'
289,Terre Haute,US,66.2,light rain,39.47,-87.41,Drury Inn & Suites Terre Haute
290,Jiaojiang,CN,93.0,clear sky,28.68,121.44,Fangyuan Hotel
291,Bissau,GW,78.04,light rain,11.86,-15.6,Pensão Creola
293,Sibut,CF,71.6,overcast clouds,5.72,19.07,
295,Basco,PH,84.27,light rain,20.45,121.97,Nathaniel's Lodge
296,Sao Filipe,CV,77.56,clear sky,14.9,-24.5,Tortuga B&B
299,Sibu,MY,87.8,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
300,Mandalgovi,MN,65.35,scattered clouds,45.76,106.27,В.Ганбат
302,Sao Sebastiao,BR,65.23,scattered clouds,-23.76,-45.41,Hotel Recanto dos Pássaros
303,Canton,CN,90.0,broken clouds,23.12,113.25,Guangzhou Hotel
304,Mao,ES,78.8,clear sky,39.89,4.27,ARTIEM Capri
305,Dodge City,US,72.0,broken clouds,37.75,-100.02,Windsor Inn & Suites
308,Akyab,MM,86.99,overcast clouds,20.15,92.9,Hotel Memory
310,La Ronge,CA,66.2,clear sky,55.1,-105.28,Northland Motor Hotel
311,Malakal,SS,71.08,broken clouds,9.53,31.66,Nile Palace Hotel
312,Vila Franca Do Campo,PT,66.2,scattered clouds,37.72,-25.43,Pestana Bahia Praia
313,Micheweni,TZ,74.75,light rain,-4.97,39.83,
314,Labuhan,ID,86.02,scattered clouds,-6.88,112.21,bador sepret
316,Plettenberg Bay,ZA,69.73,clear sky,-34.05,23.37,Thanda Vista B&B
318,Benjamin Constant,BR,73.4,overcast clouds,-4.38,-70.03,CASA AVALIADA
